Timestamp,Username,SubCount,RecipientUsernames,SpinTriggered
2025-05-14T18:09:26.060Z,"Saahad",3,"",YES
2025-05-14T18:24:20.935Z,"XxerophX",3,"",YES
2025-05-14T18:41:28.293Z,"Saahad",3,"",YES
2025-05-14T18:42:01.457Z,"Agt_Washington_",5,"",YES
2025-05-14T19:03:47.126Z,"tritionofatlas",5,"",YES
2025-05-14T19:03:55.051Z,"Karstonea",10,"",YES
2025-05-14T19:11:28.777Z,"Iced_Delulu",5,"",YES
2025-05-14T19:18:38.489Z,"Saahad",9,"",YES
2025-05-14T19:32:34.506Z,"panda_71",5,"",YES
2025-05-14T19:43:28.269Z,"H0Ngh0sti3",5,"",YES
2025-05-14T20:01:11.908Z,"FilSaFer",30,"",YES
2025-05-14T20:14:59.473Z,"barrettsmithbb",30,"",YES
2025-05-14T20:40:39.497Z,"schwarzrose1",5,"",YES
2025-05-14T20:41:30.289Z,"MarkovellioTV",30,"",YES
2025-05-14T21:00:35.213Z,"tritionofatlas",5,"",YES
2025-05-14T21:22:51.151Z,"DoshiPrime",17,"",YES
2025-05-14T21:55:25.239Z,"H0Ngh0sti3",26,"",YES
2025-05-14T22:02:18.920Z,"Lethelyn",10,"",YES
